CMO_ID,Name,Sponsor_ID,GMP Status
CMO00078,Integrated Sciences Group,SP3859,Approved
CMO00079,NextGen Pharma Technologies,SP5833,Revoked
CMO00080,NextGen Manufacturing Solutions,SP2786,Pending
CMO00081,Premier Pharma International,SP9252,Under Evaluation
CMO00082,Alliance Therapeutics Solutions,SP4823,In Review
CMO00083,Precision Laboratories Ltd.,SP1281,Conditional
CMO00084,Advanced BioPharm Technologies,SP8321,Pending
CMO00085,Advanced BioPharm Innovations,SP9441,Certified
CMO00086,Summit Research Solutions,SP6504,Certified
CMO00087,Universal Therapeutics Technologies,SP2874,Pending
CMO00088,Precision Pharma Solutions,SP3946,In Review
CMO00089,NextGen Sciences Group,SP0265,Compliant
CMO00090,Advanced Research Corp,SP2410,Compliant
CMO00091,Summit Solutions Group,SP0618,Under Evaluation
CMO00092,Premier Therapeutics International,SP7597,Provisional
CMO00093,Premier Sciences Technologies,SP5297,Pending
CMO00094,Precision BioPharm Group,SP4786,In Review
CMO00095,Global Sciences Corp,SP7889,In Review
CMO00096,Summit Research Technologies,SP4535,Compliant
CMO00097,Integrated Laboratories Technologies,SP5491,Revoked
CMO00098,BioTech Solutions International,SP6335,Under Evaluation
CMO00099,NextGen Research Solutions,SP2334,Under Evaluation
CMO00100,Integrated Pharma Inc.,SP1229,Provisional
CMO00101,BioTech Research Inc.,SP0506,Expired
CMO00102,Alliance Biologics Innovations,SP5932,Revoked
CMO00103,Global MedTech International,SP3468,Approved
CMO00104,Precision Research Ltd.,SP4139,Approved
CMO00105,Advanced Therapeutics Innovations,SP8503,Approved
CMO00106,Precision Pharma Inc.,SP6700,Revoked
CMO00107,Advanced BioPharm Systems,SP8198,Expired
CMO00108,Alliance Research International,SP0623,Pending
CMO00109,Premier Manufacturing Innovations,SP6808,Provisional
CMO00110,Global BioPharm International,SP6471,Pending
CMO00111,Universal Research Systems,SP8954,Compliant
CMO00112,NextGen Solutions Systems,SP8793,Under Evaluation
CMO00113,Advanced Pharma Corp,SP1362,Expired
CMO00114,Advanced Sciences Innovations,SP0139,Expired
CMO00115,Premier Laboratories Technologies,SP0164,In Review
CMO00116,Premier Laboratories Group,SP7357,Pending
CMO00117,Universal MedTech Technologies,SP3374,Conditional
CMO00118,Integrated Pharma Solutions,SP9037,Expired
CMO00119,Precision Research Inc.,SP7347,Under Evaluation
CMO00120,BioTech Biologics Systems,SP0749,Revoked
CMO00121,Alliance Solutions Solutions,SP9870,Provisional
CMO00122,BioTech Research Solutions,SP5751,Pending
CMO00123,Alliance Laboratories Innovations,SP1090,Under Evaluation
CMO00124,Premier Manufacturing Solutions,SP5738,Expired
CMO00125,Alliance Laboratories Partners,SP3143,Compliant
CMO00126,Integrated BioPharm Corp,SP1029,Conditional
CMO00127,BioTech Solutions Systems,SP1114,Under Evaluation
CMO00128,NextGen Solutions Corp,SP2125,Expired
CMO00129,Premier MedTech Innovations,SP5582,Compliant
CMO00130,Alliance Therapeutics Ltd.,SP4089,Expired
CMO00131,Advanced Manufacturing Corp,SP6131,Expired
CMO00132,Premier Laboratories Systems,SP5795,Conditional
CMO00133,Universal Research Innovations,SP3712,Expired
CMO00134,Alliance Laboratories Innovations,SP9642,Revoked
CMO00135,BioTech BioPharm Partners,SP8825,Approved
CMO00136,Universal Sciences Corp,SP0498,Expired
CMO00137,Universal MedTech Systems,SP2914,Provisional
CMO00138,Alliance Manufacturing Group,SP7671,Compliant
CMO00139,Summit BioPharm Technologies,SP6211,Revoked
CMO00140,NextGen BioPharm Technologies,SP9491,Approved
CMO00141,Advanced Pharma Ltd.,SP9921,Conditional
CMO00142,Universal Therapeutics Technologies,SP2153,Conditional
CMO00143,Universal Laboratories Group,SP9838,In Review
CMO00144,Universal Manufacturing Solutions,SP0090,Conditional
CMO00145,Advanced Sciences Corp,SP6365,Under Evaluation
CMO00146,Precision Research Innovations,SP0707,Provisional
CMO00147,Summit Laboratories Solutions,SP6066,Conditional
CMO00148,Summit BioPharm Group,SP7854,Approved
CMO00149,Alliance Solutions Group,SP5529,Compliant
CMO00150,BioTech Laboratories Solutions,SP0905,Provisional
CMO00151,Alliance MedTech International,SP7897,Pending
CMO00152,Integrated Research Technologies,SP2828,Provisional
CMO00153,Alliance BioPharm Partners,SP5195,Certified
CMO00154,BioTech Manufacturing Ltd.,SP7427,Certified
CMO00155,Advanced Solutions Inc.,SP6148,Approved
CMO00156,Global Biologics Solutions,SP5405,Conditional
CMO00157,Precision Sciences Systems,SP2202,Provisional
CMO00158,Alliance Manufacturing Technologies,SP5701,Pending
CMO00159,Precision BioPharm Partners,SP0425,Under Evaluation
CMO00160,Global Laboratories Systems,SP4944,Conditional
CMO00161,Summit Laboratories Partners,SP5625,Compliant
CMO00162,BioTech MedTech Systems,SP4824,Compliant
CMO00163,NextGen MedTech Innovations,SP0504,Expired
CMO00164,Summit Therapeutics Inc.,SP6531,In Review
CMO00165,NextGen Sciences Solutions,SP4812,In Review
CMO00166,Universal Biologics Solutions,SP0063,Conditional
CMO00167,Precision Laboratories Partners,SP7702,Compliant
CMO00168,Precision Pharma Ltd.,SP7196,Pending
CMO00169,Precision Therapeutics Corp,SP1059,Revoked
CMO00170,Integrated Solutions Technologies,SP6147,Approved
CMO00171,Precision BioPharm Innovations,SP7089,Expired
CMO00172,Premier Research Systems,SP8862,Pending
CMO00173,Premier MedTech Ltd.,SP5643,Expired
CMO00174,Alliance BioPharm International,SP1618,Certified
CMO00175,Global BioPharm Technologies,SP8748,Expired
CMO00176,Universal Sciences International,SP8476,Approved
CMO00177,Global BioPharm Systems,SP1062,Certified
CMO00178,Alliance MedTech Solutions,SP6995,Under Evaluation
CMO00179,Summit Therapeutics Partners,SP0360,Approved
CMO00180,Summit Solutions Solutions,SP7782,Expired
CMO00181,Universal Solutions Solutions,SP6637,Revoked
CMO00182,Alliance Laboratories International,SP1986,Expired
CMO00183,NextGen BioPharm Systems,SP3867,Conditional
CMO00184,Precision Manufacturing Technologies,SP4748,In Review
CMO00185,Global Solutions Corp,SP1407,Approved
CMO00186,BioTech Manufacturing Systems,SP1466,Conditional
CMO00187,Advanced Laboratories Systems,SP7857,Expired
CMO00188,Premier Biologics Corp,SP6406,Certified
CMO00189,Premier Pharma Innovations,SP4832,Pending
CMO00190,NextGen Pharma Technologies,SP2014,Under Evaluation
CMO00191,Universal Laboratories Group,SP7362,Certified
CMO00192,Global Laboratories Partners,SP4925,Conditional
CMO00193,Precision Therapeutics Inc.,SP9720,Under Evaluation
CMO00194,Advanced Research Solutions,SP3464,Approved
CMO00195,Alliance Pharma Solutions,SP3695,Conditional
CMO00196,Advanced Sciences Corp,SP8983,Certified
CMO00197,BioTech Therapeutics Group,SP8251,Expired
CMO00198,BioTech Research Systems,SP7186,Under Evaluation
CMO00199,Premier Biologics Systems,SP0246,Revoked
CMO00200,Global Pharma International,SP0970,Compliant
CMO00201,Universal Research Corp,SP3168,Expired
CMO00202,Premier BioPharm Solutions,SP8470,Certified
CMO00203,Advanced BioPharm Systems,SP0198,Expired
CMO00204,Precision Solutions Partners,SP5209,Conditional
CMO00205,Advanced Therapeutics Innovations,SP4105,Compliant
CMO00206,Global Sciences Technologies,SP8262,Conditional
CMO00207,Integrated BioPharm Corp,SP9498,Under Evaluation
CMO00208,Advanced BioPharm Solutions,SP6862,Conditional
CMO00209,Summit MedTech Technologies,SP5847,Revoked
CMO00210,Global Sciences Systems,SP3827,In Review
CMO00211,Advanced Laboratories Inc.,SP7804,Expired
CMO00212,Precision Sciences Systems,SP7416,Under Evaluation
CMO00213,Universal Solutions Ltd.,SP1207,In Review
CMO00214,Integrated BioPharm Group,SP0639,Under Evaluation
CMO00215,NextGen Manufacturing Ltd.,SP6433,Revoked
CMO00216,Premier Pharma Corp,SP2504,Pending
CMO00217,Integrated Laboratories Inc.,SP6696,Pending
CMO00218,Global Research International,SP2584,Provisional
CMO00219,Advanced BioPharm International,SP2768,In Review
CMO00220,Precision Research International,SP4175,Provisional
CMO00221,Integrated Therapeutics Partners,SP2582,Revoked
CMO00222,Global Biologics Innovations,SP7653,Certified
CMO00223,Precision Therapeutics Solutions,SP8910,Revoked
CMO00224,Summit Research Partners,SP5363,Conditional
CMO00225,Summit Sciences Partners,SP5973,Conditional
CMO00226,NextGen Research Inc.,SP9460,In Review
CMO00227,NextGen Pharma International,SP9800,Revoked
CMO00228,Precision Therapeutics International,SP8901,Certified
CMO00229,Global Sciences International,SP9880,Compliant
CMO00230,Summit Biologics Partners,SP3529,In Review
CMO00231,Universal Therapeutics International,SP6995,Expired
CMO00232,Precision Pharma International,SP2814,Conditional
CMO00233,NextGen Solutions Innovations,SP7625,Expired
CMO00234,Summit Biologics Solutions,SP9115,Provisional
CMO00235,NextGen Research International,SP8800,In Review
CMO00236,Summit Pharma Partners,SP5066,Provisional
CMO00237,Premier BioPharm Technologies,SP0417,In Review
CMO00238,NextGen Solutions Corp,SP7796,Conditional
CMO00239,Universal Solutions Group,SP4820,Pending
CMO00240,Precision MedTech Corp,SP4130,Pending
CMO00241,Integrated Research Group,SP6323,Pending
CMO00242,BioTech Research Partners,SP6013,Certified
CMO00243,Integrated Manufacturing Technologies,SP0504,Conditional
CMO00244,NextGen Research Corp,SP0904,In Review
CMO00245,BioTech MedTech Partners,SP4578,Compliant
CMO00246,Universal Research Innovations,SP0099,Pending
CMO00247,Advanced Manufacturing Innovations,SP5679,Conditional
CMO00248,Global Pharma Systems,SP9705,Pending
CMO00249,Integrated Pharma Partners,SP2319,Approved
CMO00250,BioTech Biologics Corp,SP1658,Provisional
CMO00251,Advanced Therapeutics Technologies,SP2714,Expired
CMO00252,Universal Therapeutics Ltd.,SP4041,Approved
CMO00253,Premier Pharma Ltd.,SP1111,Certified
CMO00254,Integrated Pharma Group,SP0929,Conditional
CMO00255,Premier Solutions Ltd.,SP3897,Certified
CMO00256,Alliance BioPharm Corp,SP6015,In Review
CMO00257,Integrated Solutions Solutions,SP0618,Provisional
CMO00258,Summit Biologics Solutions,SP1719,Pending
CMO00259,Integrated Manufacturing Group,SP2573,Approved
CMO00260,Global Sciences Group,SP6358,In Review
CMO00261,Summit Therapeutics Innovations,SP6053,Certified
CMO00262,Summit Solutions Systems,SP6367,Under Evaluation
CMO00263,NextGen Solutions Group,SP2621,Certified
CMO00264,Premier Pharma Partners,SP8614,In Review
CMO00265,Global Laboratories Corp,SP3194,In Review
CMO00266,Alliance Biologics Technologies,SP5464,Provisional
CMO00267,Alliance BioPharm Systems,SP5905,Under Evaluation
CMO00268,Summit Solutions Technologies,SP7107,Under Evaluation
CMO00269,Summit Therapeutics Corp,SP2294,Provisional
CMO00270,Global MedTech Solutions,SP4845,Pending
CMO00271,BioTech Laboratories Solutions,SP8030,Provisional
CMO00272,Universal Sciences Group,SP0404,Conditional
CMO00273,Global Research Innovations,SP2166,Compliant
CMO00274,Integrated Solutions Innovations,SP8054,Pending
CMO00275,Global Therapeutics Ltd.,SP5766,Certified
CMO00276,Summit MedTech International,SP3732,Compliant
CMO00277,Integrated BioPharm Solutions,SP2888,Expired
CMO00278,Summit Solutions Innovations,SP5967,Conditional
CMO00279,BioTech MedTech Technologies,SP1959,Revoked
CMO00280,NextGen Biologics Ltd.,SP1739,Approved
CMO00281,Global Research Innovations,SP6270,In Review
CMO00282,BioTech Biologics Partners,SP5053,Expired
CMO00283,NextGen BioPharm Technologies,SP8378,In Review
CMO00284,Universal Laboratories International,SP5771,In Review
CMO00285,NextGen Biologics Partners,SP7949,Approved
CMO00286,NextGen Biologics Ltd.,SP3332,Conditional
CMO00287,Summit Manufacturing Solutions,SP6111,Under Evaluation
CMO00288,Integrated Laboratories Systems,SP8412,Expired
CMO00289,Integrated MedTech Systems,SP8630,Provisional
CMO00290,Summit Research Solutions,SP3820,Expired
CMO00291,Universal Therapeutics International,SP7129,Pending
CMO00292,Integrated Manufacturing Partners,SP2522,Provisional
CMO00293,BioTech Laboratories Partners,SP6601,Expired
CMO00294,Alliance Therapeutics Corp,SP1366,Conditional
CMO00295,Universal Solutions Group,SP7309,Expired
CMO00296,Advanced Therapeutics Inc.,SP7385,Approved
CMO00297,Premier Biologics Systems,SP1433,Certified
CMO00298,Summit Biologics Group,SP0998,Expired
CMO00299,NextGen Manufacturing Ltd.,SP0033,Expired
CMO00300,BioTech Research Technologies,SP9134,In Review
CMO00301,Integrated Manufacturing Corp,SP8817,Revoked
CMO00302,BioTech Solutions Partners,SP1124,In Review
CMO00303,Advanced Research Ltd.,SP2674,Pending
CMO00304,Global Research International,SP0977,Expired
CMO00305,Summit BioPharm Ltd.,SP4364,Expired
CMO00306,Advanced Laboratories Innovations,SP5513,Under Evaluation
CMO00307,Alliance Biologics Partners,SP3554,Under Evaluation
CMO00308,Integrated Pharma Innovations,SP9503,Under Evaluation
CMO00309,Universal Biologics Systems,SP0585,Revoked
CMO00310,Integrated MedTech Ltd.,SP9728,Certified
CMO00311,BioTech Therapeutics International,SP2532,Provisional
CMO00312,Integrated MedTech Group,SP1128,Provisional
CMO00313,Alliance BioPharm Systems,SP9115,Compliant
CMO00314,Global BioPharm Solutions,SP8502,Revoked
CMO00315,BioTech BioPharm Solutions,SP9282,Approved
CMO00316,Alliance BioPharm Group,SP0377,Certified
CMO00317,Advanced Pharma Systems,SP9933,In Review
CMO00318,Integrated Sciences Solutions,SP1731,Revoked
CMO00319,Global Pharma International,SP2001,Expired
CMO00320,Universal Laboratories Corp,SP0374,Compliant
CMO00321,Integrated Therapeutics Inc.,SP2768,Expired
CMO00322,Integrated Solutions Inc.,SP4482,In Review
CMO00323,BioTech Manufacturing Partners,SP9961,Compliant
CMO00324,Precision Manufacturing Technologies,SP7287,Approved
CMO00325,Precision Research Technologies,SP5971,Compliant
CMO00326,Advanced Laboratories Group,SP8184,Under Evaluation
CMO00327,Precision BioPharm Systems,SP5857,Expired
CMO00328,Summit Laboratories Ltd.,SP9163,Conditional
CMO00329,Alliance Solutions Technologies,SP8162,Revoked
CMO00330,Premier Sciences Innovations,SP5349,In Review
CMO00331,Precision Biologics Technologies,SP9787,Revoked
CMO00332,Premier Sciences Solutions,SP7123,Expired
CMO00333,Universal Sciences Group,SP3559,Revoked
CMO00334,Summit BioPharm Ltd.,SP4074,Pending
CMO00335,Alliance Biologics Ltd.,SP9285,Provisional
CMO00336,BioTech Manufacturing International,SP2559,Revoked
CMO00337,Alliance Therapeutics Partners,SP3662,Approved
CMO00338,Summit MedTech Group,SP2787,Pending
CMO00339,Premier Research Innovations,SP7793,Certified
CMO00340,Advanced Biologics Inc.,SP0166,Compliant
CMO00341,Premier Biologics Partners,SP0279,In Review
CMO00342,Integrated MedTech Innovations,SP1401,Under Evaluation
CMO00343,Precision Laboratories Partners,SP4175,Provisional
CMO00344,Advanced Research Solutions,SP5055,Under Evaluation
CMO00345,BioTech Therapeutics Group,SP7523,Compliant
CMO00346,Global Manufacturing Group,SP2772,In Review
CMO00347,Premier Pharma Inc.,SP9251,Provisional
CMO00348,Universal Research Systems,SP9369,Certified
CMO00349,Global Biologics Innovations,SP4301,Under Evaluation
CMO00350,Integrated Biologics Ltd.,SP1158,Revoked
CMO00351,Summit Research Corp,SP7142,Revoked
CMO00352,NextGen Pharma Corp,SP4911,Pending
CMO00353,Premier MedTech Partners,SP4712,Provisional
CMO00354,Summit Laboratories Corp,SP4014,In Review
CMO00355,Summit Biologics Group,SP3631,Provisional
CMO00356,Universal MedTech Inc.,SP7554,Expired
CMO00357,Universal Laboratories Solutions,SP8419,Compliant
CMO00358,Global Sciences Partners,SP1861,Pending
CMO00359,BioTech BioPharm International,SP6572,Revoked
CMO00360,BioTech Manufacturing Group,SP4632,Expired
CMO00361,Global Therapeutics Group,SP8246,Expired
CMO00362,NextGen Pharma Corp,SP5359,Revoked
CMO00363,Integrated Therapeutics Inc.,SP4480,Provisional
CMO00364,NextGen Solutions Innovations,SP2552,Expired
CMO00365,Global MedTech Technologies,SP2000,Approved
CMO00366,Premier Sciences Systems,SP2332,Expired
CMO00367,Summit Pharma Innovations,SP6021,Conditional
CMO00368,Integrated Manufacturing Innovations,SP8133,In Review
CMO00369,Global Manufacturing Technologies,SP2276,In Review
CMO00370,Summit Therapeutics Systems,SP2315,Certified
CMO00371,BioTech Therapeutics Ltd.,SP1838,Compliant
CMO00372,Global Sciences Solutions,SP5239,Conditional
CMO00373,NextGen Therapeutics Solutions,SP3746,Compliant
CMO00374,BioTech Pharma Solutions,SP3166,Revoked
CMO00375,Precision Solutions Group,SP3770,Approved
CMO00376,Universal Manufacturing Inc.,SP4204,Certified
CMO00377,Global Biologics Solutions,SP3374,Conditional
CMO00378,Advanced BioPharm Corp,SP1616,Provisional
CMO00379,BioTech Manufacturing International,SP2944,Certified
CMO00380,Advanced Sciences Inc.,SP5551,Conditional
CMO00381,NextGen Biologics Solutions,SP9458,Expired
CMO00382,Global MedTech Innovations,SP2465,Approved
CMO00383,Advanced BioPharm Partners,SP0928,Expired
CMO00384,Summit Sciences Ltd.,SP3515,Conditional
CMO00385,Summit Therapeutics Innovations,SP1305,Under Evaluation
CMO00386,Universal BioPharm Corp,SP9894,In Review
CMO00387,Summit Biologics Corp,SP5783,Expired
CMO00388,BioTech Manufacturing Corp,SP0310,Provisional
CMO00389,Precision Manufacturing Innovations,SP9740,Expired
CMO00390,Summit Manufacturing Technologies,SP9539,Provisional
CMO00391,Advanced Laboratories Partners,SP2082,Provisional
CMO00392,Universal Sciences Corp,SP8372,Under Evaluation
CMO00393,Summit Manufacturing Group,SP6431,Compliant
CMO00394,Advanced Biologics Systems,SP8302,In Review
CMO00395,Universal Sciences Solutions,SP6415,Certified
CMO00396,Summit Laboratories Solutions,SP2739,Expired
CMO00397,Global Solutions Inc.,SP2205,Conditional
CMO00398,Alliance Manufacturing Systems,SP7263,Provisional
CMO00399,Advanced Biologics Solutions,SP4181,Revoked
CMO00400,Premier Laboratories Solutions,SP3644,Under Evaluation
CMO00401,Integrated MedTech Corp,SP9955,Certified
CMO00402,Precision Biologics Ltd.,SP6249,Expired
CMO00403,Integrated MedTech Partners,SP3096,Pending
CMO00404,NextGen Laboratories International,SP4350,Pending
CMO00405,Alliance BioPharm International,SP4227,Under Evaluation
CMO00406,Universal Biologics Systems,SP6932,Approved
CMO00407,NextGen Laboratories Group,SP3245,Under Evaluation
CMO00408,Summit Biologics Corp,SP9468,Revoked
CMO00409,Alliance Pharma International,SP4854,Certified
CMO00410,Universal Research International,SP8992,Conditional
CMO00411,Premier MedTech Inc.,SP9451,Compliant
CMO00412,Premier Biologics Technologies,SP8106,Certified
CMO00413,NextGen Manufacturing Partners,SP8714,Certified
CMO00414,Summit Biologics Corp,SP2497,Approved
CMO00415,NextGen Sciences Solutions,SP6421,Conditional
CMO00416,Universal BioPharm Innovations,SP5993,Compliant
CMO00417,Summit Solutions International,SP6477,Approved
CMO00418,Precision Laboratories International,SP1511,Expired
CMO00419,Premier Therapeutics Inc.,SP1292,Pending
CMO00420,BioTech Solutions Innovations,SP9328,In Review
CMO00421,NextGen Sciences Systems,SP5677,Provisional
CMO00422,Global MedTech Technologies,SP9210,Compliant
CMO00423,BioTech Sciences Inc.,SP2078,In Review
CMO00424,NextGen BioPharm Partners,SP5673,Revoked
CMO00425,Premier Solutions Ltd.,SP0529,Provisional
CMO00426,Precision Pharma Corp,SP1921,Compliant
CMO00427,NextGen MedTech Ltd.,SP6240,Conditional
CMO00428,BioTech MedTech Ltd.,SP1043,Under Evaluation
CMO00429,BioTech Laboratories Group,SP8719,Provisional
CMO00430,Summit Solutions Corp,SP3746,Conditional
CMO00431,Premier BioPharm Solutions,SP7812,Approved
CMO00432,Alliance MedTech International,SP6281,Expired
CMO00433,Alliance Biologics Technologies,SP3799,In Review
CMO00434,Premier Biologics Partners,SP2676,Revoked
CMO00435,Precision MedTech Innovations,SP6919,Certified
CMO00436,NextGen Therapeutics Technologies,SP0013,Conditional
CMO00437,NextGen BioPharm Ltd.,SP5234,Under Evaluation
CMO00438,NextGen BioPharm Corp,SP8271,Pending
CMO00439,Alliance Manufacturing Partners,SP0553,Provisional
CMO00440,Global BioPharm International,SP4050,In Review
CMO00441,Advanced Manufacturing Inc.,SP4167,In Review
CMO00442,Summit Laboratories Ltd.,SP7739,Under Evaluation
CMO00443,Premier MedTech Innovations,SP9654,Revoked
CMO00444,Premier Therapeutics Group,SP7787,Conditional
CMO00445,Universal Research International,SP3633,Expired
CMO00446,Integrated Pharma Inc.,SP9719,Revoked
CMO00447,BioTech Pharma Solutions,SP9455,Conditional
CMO00448,Integrated Research Systems,SP3603,Revoked
CMO00449,NextGen Laboratories Corp,SP3612,Approved
CMO00450,NextGen Laboratories Inc.,SP8680,Revoked
CMO00451,Advanced Solutions Solutions,SP3319,Approved
CMO00452,Precision Therapeutics Innovations,SP3131,Provisional
CMO00453,Integrated Manufacturing Systems,SP9122,In Review
CMO00454,Advanced Therapeutics Corp,SP9388,In Review
CMO00455,Premier MedTech Technologies,SP0076,Approved
CMO00456,Global Laboratories Solutions,SP9693,Approved
CMO00457,Summit Solutions Inc.,SP6707,Under Evaluation
CMO00458,Advanced Biologics Group,SP4789,Pending
CMO00459,NextGen Pharma Solutions,SP7742,Under Evaluation
CMO00460,Alliance Research Partners,SP7315,In Review
CMO00461,BioTech Therapeutics Group,SP0738,Expired
CMO00462,Precision BioPharm Ltd.,SP6628,Revoked
CMO00463,Premier Laboratories Innovations,SP3470,Approved
CMO00464,Integrated Manufacturing Corp,SP4458,Approved
CMO00465,Integrated Pharma Group,SP4594,Compliant
CMO00466,Alliance Therapeutics Technologies,SP7456,Revoked
CMO00467,Precision Therapeutics Inc.,SP1395,Approved
CMO00468,NextGen Pharma Ltd.,SP3991,Pending
CMO00469,BioTech Solutions Group,SP7022,Under Evaluation
CMO00470,Precision Sciences Solutions,SP6157,Approved
CMO00471,BioTech Solutions Ltd.,SP9483,Conditional
CMO00472,Alliance Solutions Solutions,SP4851,In Review
CMO00473,Global BioPharm Corp,SP3897,Approved
CMO00474,Integrated Solutions Technologies,SP6081,Conditional
CMO00475,NextGen MedTech Solutions,SP4453,Revoked
CMO00476,Premier BioPharm Systems,SP7392,Revoked
CMO00477,BioTech Therapeutics Inc.,SP3059,Pending
CMO00478,Integrated BioPharm Solutions,SP3429,Revoked
CMO00479,Summit BioPharm Innovations,SP5719,Certified
CMO00480,Alliance Manufacturing Ltd.,SP6623,Certified
CMO00481,Premier BioPharm Solutions,SP1520,Under Evaluation
CMO00482,Universal Sciences Inc.,SP1655,Certified
CMO00483,BioTech MedTech International,SP2189,Approved
CMO00484,Alliance Manufacturing Partners,SP0101,Compliant
CMO00485,Integrated Sciences Solutions,SP4971,Pending
CMO00486,Universal Solutions Group,SP0753,Compliant
CMO00487,Summit MedTech Ltd.,SP0864,Revoked
CMO00488,Integrated Pharma Partners,SP2880,Compliant
CMO00489,Global BioPharm Group,SP2590,Certified
CMO00490,BioTech Research Corp,SP4364,Compliant
CMO00491,Advanced Manufacturing International,SP8099,Conditional
CMO00492,Universal Pharma Technologies,SP2035,Certified
CMO00493,BioTech MedTech International,SP3380,Approved
CMO00494,Alliance Solutions Group,SP4346,Compliant
CMO00495,Precision Laboratories Systems,SP0616,Revoked
CMO00496,Universal Pharma Ltd.,SP7936,Compliant
CMO00497,BioTech Sciences International,SP6828,Compliant
CMO00498,Summit Biologics Corp,SP9372,Pending
CMO00499,Global Sciences Partners,SP6656,In Review
CMO00500,Premier Sciences Innovations,SP2954,Approved
