Depot_ID,Name,Location,GDP Compliance
DEP00111,Central Distribution Hub,"Catonsville, Canada",Grade C
DEP00112,United Storage Solutions,"North Gregoria, Norway",Grade B
DEP00113,Prime Depot Group,"West Cassandreview, Belgium",Grade C
DEP00114,Alliance Storage Partners,"New Ashtynmouth, Belgium",Under Remediation
DEP00115,Central Supply Logistics,"West Horace, Poland",Fully Compliant
DEP00116,Worldwide Medical Services,"Hiramview, India",Under Remediation
DEP00117,Alliance Transport Systems,"Rogahnbury, France",Pending Review
DEP00118,Global Logistics Solutions,"Goodyear, Norway",Partial Compliance
DEP00119,Prime Medical Group,"Port Laverna, Canada",Grade A
DEP00120,Prime Logistics Logistics,"Las Vegas, Denmark",Pending Review
DEP00121,Global Healthcare Partners,"North Ian, France",Partial Compliance
DEP00122,Prime Healthcare Partners,"West Terrenceton, Mexico",Fully Compliant
DEP00123,Integrated Transport Services,"South Bonnieview, Switzerland",Provisional
DEP00124,Regional Pharma Services,"Bradleyville, Italy",Partial Compliance
DEP00125,United Distribution International,"Lake Robbiechester, Mexico",Under Remediation
DEP00126,Global Delivery Network,"Goyetteside, Germany",Under Remediation
DEP00127,Strategic Pharma International,"Brownmouth, India",Partial Compliance
DEP00128,Prime Pharma Logistics,"Port Layla, Brazil",Conditional Approval
DEP00129,Global Distribution Group,"VonRuedenside, Canada",Non-Compliant
DEP00130,Alliance Pharma Partners,"Ernserstad, Germany",Non-Compliant
DEP00131,Central Storage International,"North Carmine, Canada",Non-Compliant
DEP00132,Prime Medical Partners,"Feeneyton, USA",Grade A
DEP00133,Central Transport Services,"Swaniawskiton, Sweden",Fully Compliant
DEP00134,Regional Medical Alliance,"Adamsburgh, Switzerland",Grade A
DEP00135,Alliance Delivery Group,"Metairie, Norway",Grade A
DEP00136,Prime Supply Network,"Lynchburg, Brazil",Partial Compliance
DEP00137,Central Pharma Network,"South Maiyacester, UK",Certified
DEP00138,Strategic Supply International,"South Isomshire, India",Grade B
DEP00139,United Healthcare Partners,"Nameberg, Denmark",Fully Compliant
DEP00140,Central Supply Network,"Haaghaven, Poland",Conditional Approval
DEP00141,Prime Healthcare Services,"Iowa City, Singapore",Partial Compliance
DEP00142,Prime Supply Alliance,"Reichertview, Japan",Certified
DEP00143,Alliance Depot Group,"Albertview, UK",Pending Review
DEP00144,Central Storage Network,"Fort Mallie, Norway",Grade A
DEP00145,National Pharma Network,"Port Eladio, China",Partial Compliance
DEP00146,United Medical Systems,"Hintzburgh, Brazil",Grade B
DEP00147,Prime Storage Logistics,"Port Taraton, Spain",Grade A
DEP00148,Alliance Distribution International,"East Edmundtown, Mexico",Under Remediation
DEP00149,National Depot Hub,"Kameronshire, Spain",Grade C
DEP00150,Global Logistics Alliance,"Darrelland, Switzerland",Grade C
DEP00151,National Storage Systems,"Redondo Beach, Norway",Partial Compliance
DEP00152,Prime Depot Services,"Amarillo, Ireland",Pending Review
DEP00153,Strategic Medical Group,"Fort Elsie, USA",Grade C
DEP00154,Strategic Delivery Systems,"New Dale, Singapore",Conditional Approval
DEP00155,Integrated Pharma Group,"Joplin, Austria",Pending Review
DEP00156,Strategic Medical Systems,"San Diego, Spain",Certified
DEP00157,Integrated Distribution Services,"East Kenfurt, Poland",Under Remediation
DEP00158,Regional Pharma International,"Hanford, Netherlands",Grade B
DEP00159,Global Pharma Group,"East Cody, Netherlands",Grade C
DEP00160,Central Storage Partners,"Bellevue, Spain",Grade A
DEP00161,Prime Logistics Group,"El Paso, Singapore",Non-Compliant
DEP00162,Prime Supply Network,"Grantstead, Germany",Grade A
DEP00163,Regional Supply Group,"Wiegandfield, Mexico",Under Remediation
DEP00164,Global Healthcare International,"New Ima, China",Non-Compliant
DEP00165,Integrated Depot Partners,"Annabelfurt, Spain",Fully Compliant
DEP00166,Global Supply Alliance,"Orlando, Denmark",Grade C
DEP00167,Prime Medical Hub,"Fort Adam, China",Grade A
DEP00168,National Pharma Solutions,"East Kenneth, UK",Grade C
DEP00169,Alliance Delivery Group,"Koelpinburgh, Germany",Provisional
DEP00170,Strategic Healthcare Logistics,"Marvinton, Austria",Grade A
DEP00171,Global Distribution Hub,"Lakinland, Norway",Partial Compliance
DEP00172,Global Pharma Group,"Rutherfordworth, Australia",Fully Compliant
DEP00173,Worldwide Supply Group,"Lake Kaden, Denmark",Grade B
DEP00174,Central Storage Services,"Kamilleton, Germany",Grade B
DEP00175,Global Delivery Systems,"Linden, Canada",Grade A
DEP00176,Worldwide Depot International,"Hannaville, Spain",Provisional
DEP00177,National Storage Partners,"Paterson, Netherlands",Provisional
DEP00178,Integrated Logistics Logistics,"Fort Raeganton, Sweden",Fully Compliant
DEP00179,United Storage International,"Lianafurt, Ireland",Non-Compliant
DEP00180,National Pharma Solutions,"Pourosville, Germany",Under Remediation
DEP00181,Strategic Storage Services,"East Valliecester, Netherlands",Grade A
DEP00182,National Medical Alliance,"Lucioton, Denmark",Conditional Approval
DEP00183,National Delivery Alliance,"East Theresa, Belgium",Certified
DEP00184,National Delivery Alliance,"Deanchester, Belgium",Non-Compliant
DEP00185,National Medical Group,"Pearland, Sweden",Fully Compliant
DEP00186,Regional Medical Hub,"Fort Alden, Austria",Under Remediation
DEP00187,Global Depot Hub,"North Brandycester, China",Grade A
DEP00188,Prime Depot Partners,"Iowa City, UK",Conditional Approval
DEP00189,National Transport Systems,"Valeriebury, South Korea",Non-Compliant
DEP00190,Global Supply Logistics,"Collierville, Sweden",Non-Compliant
DEP00191,Global Storage Group,"Ames, USA",Certified
DEP00192,United Healthcare Systems,"Howefort, UK",Non-Compliant
DEP00193,Prime Supply Alliance,"Huntington Beach, Spain",Pending Review
DEP00194,Central Logistics Partners,"Fayborough, Ireland",Certified
DEP00195,Prime Medical Systems,"East Ernestoboro, Belgium",Grade B
DEP00196,Alliance Pharma Services,"East Garettfield, Sweden",Pending Review
DEP00197,Integrated Storage Alliance,"Port Juana, Sweden",Partial Compliance
DEP00198,Strategic Pharma Systems,"Marcelinahaven, Singapore",Pending Review
DEP00199,Strategic Logistics Partners,"Fort Marvin, Norway",Partial Compliance
DEP00200,Worldwide Supply Systems,"Lake Jace, South Korea",Conditional Approval
DEP00201,Alliance Healthcare Alliance,"Keaganworth, Ireland",Pending Review
DEP00202,Prime Distribution Partners,"Alexport, Italy",Pending Review
DEP00203,Central Depot Systems,"Highlands Ranch, Spain",Provisional
DEP00204,United Depot Hub,"Weston, Belgium",Grade A
DEP00205,Central Storage Solutions,"Schulistshire, Germany",Grade C
DEP00206,Prime Transport Network,"Fort Tiffanyport, Singapore",Under Remediation
DEP00207,United Pharma Hub,"Fort Britney, Mexico",Fully Compliant
DEP00208,Worldwide Transport Group,"East Prudence, USA",Provisional
DEP00209,National Delivery Solutions,"Johnson City, Japan",Fully Compliant
DEP00210,Regional Storage Partners,"Heathcoteberg, UK",Fully Compliant
DEP00211,Strategic Storage Logistics,"Frisco, Switzerland",Grade B
DEP00212,Prime Delivery Partners,"Ebertboro, Ireland",Provisional
DEP00213,National Healthcare Partners,"Lake Noeliaview, Belgium",Pending Review
DEP00214,Integrated Logistics Partners,"Lake Candace, France",Non-Compliant
DEP00215,Alliance Distribution Services,"Collinsland, China",Grade C
DEP00216,United Storage Services,"Jeramiehaven, Singapore",Conditional Approval
DEP00217,Global Transport Partners,"North Simonechester, Austria",Grade B
DEP00218,Alliance Supply Solutions,"North Katelynfield, Austria",Grade C
DEP00219,Central Delivery Group,"Eugene, Germany",Certified
DEP00220,Regional Storage Network,"Fort Leila, Denmark",Certified
DEP00221,Central Medical International,"Elnoraview, South Korea",Certified
DEP00222,Worldwide Depot Alliance,"Dublin, UK",Fully Compliant
DEP00223,Strategic Storage Hub,"Spokane Valley, India",Pending Review
DEP00224,Alliance Pharma Partners,"North Jaynecester, Mexico",Grade C
DEP00225,Prime Supply Alliance,"Gleichnerton, Germany",Non-Compliant
DEP00226,Strategic Depot Logistics,"North Lavadaview, Belgium",Pending Review
DEP00227,Central Pharma Group,"Dallinmouth, Netherlands",Partial Compliance
DEP00228,Alliance Medical Solutions,"East Louvenia, UK",Grade C
DEP00229,Prime Distribution International,"Lake Joanneshire, Canada",Conditional Approval
DEP00230,Global Pharma International,"Kreigerland, Switzerland",Under Remediation
DEP00231,Global Healthcare International,"Mishawaka, Austria",Grade B
DEP00232,National Depot Systems,"Danialburgh, Poland",Grade A
DEP00233,Regional Distribution Logistics,"East Stephonbury, Japan",Certified
DEP00234,Central Medical Hub,"Susanhaven, Sweden",Under Remediation
DEP00235,Alliance Healthcare Network,"South Ruth, Switzerland",Pending Review
DEP00236,Central Logistics Solutions,"West Delbert, Spain",Grade A
DEP00237,Strategic Storage Group,"South Jonatan, Germany",Grade B
DEP00238,Global Healthcare Alliance,"Margaritaborough, Norway",Under Remediation
DEP00239,National Distribution Solutions,"Rockford, France",Under Remediation
DEP00240,United Healthcare Systems,"Gloverburgh, Canada",Grade B
DEP00241,Alliance Depot Solutions,"Port Camden, Spain",Grade A
DEP00242,Integrated Pharma Systems,"North Anthonyfield, Canada",Pending Review
DEP00243,Strategic Distribution Network,"Efrentown, Norway",Grade B
DEP00244,Strategic Pharma Services,"Wunschshire, India",Provisional
DEP00245,National Supply Systems,"Lake Larue, Belgium",Fully Compliant
DEP00246,United Medical Systems,"New Dawsonborough, Germany",Fully Compliant
DEP00247,Central Distribution Network,"Sheboygan, Switzerland",Conditional Approval
DEP00248,Central Logistics Network,"Lolashire, Ireland",Partial Compliance
DEP00249,National Distribution Partners,"Fort Lourdes, Japan",Pending Review
DEP00250,Worldwide Depot Hub,"South Nicola, Norway",Fully Compliant
DEP00251,Integrated Healthcare Systems,"Lake Fabian, France",Fully Compliant
DEP00252,United Transport Solutions,"West Troy, India",Certified
DEP00253,Global Depot Systems,"West Isabella, Sweden",Grade C
DEP00254,Central Depot Logistics,"Port Gregview, Netherlands",Fully Compliant
DEP00255,National Transport Systems,"Fort Tabithahaven, Germany",Non-Compliant
DEP00256,National Delivery Partners,"Mayertbury, South Korea",Non-Compliant
DEP00257,Integrated Depot Alliance,"Jeffersonville, China",Non-Compliant
DEP00258,Prime Transport Partners,"Russelview, Belgium",Partial Compliance
DEP00259,Regional Medical Group,"Darienport, UK",Grade B
DEP00260,Prime Supply Solutions,"East Hollieboro, Canada",Grade B
DEP00261,Regional Pharma Systems,"North Nicklaus, Canada",Non-Compliant
DEP00262,Regional Transport International,"East Deonbury, Australia",Grade B
DEP00263,Regional Delivery International,"East Alexbury, Denmark",Non-Compliant
DEP00264,Strategic Transport International,"Hesselville, Switzerland",Non-Compliant
DEP00265,Integrated Distribution Systems,"Westminster, South Korea",Under Remediation
DEP00266,Central Distribution Network,"North Sincereview, Japan",Provisional
DEP00267,National Medical Network,"Port Giovannyton, India",Grade B
DEP00268,Alliance Storage Solutions,"Lake Cecil, Germany",Certified
DEP00269,Central Storage Partners,"Fletacester, USA",Provisional
DEP00270,National Healthcare Group,"Cerritos, China",Grade A
DEP00271,Global Storage Hub,"Durganworth, Japan",Non-Compliant
DEP00272,Global Medical Group,"Gibsonchester, Sweden",Under Remediation
DEP00273,Prime Transport Services,"East Arnaldochester, USA",Grade C
DEP00274,Global Transport Network,"Adacester, Italy",Partial Compliance
DEP00275,National Healthcare Solutions,"East Marcellestad, Spain",Provisional
DEP00276,Prime Healthcare Group,"Brandynhaven, Denmark",Grade A
DEP00277,National Delivery Network,"Corwinbury, Norway",Partial Compliance
DEP00278,Integrated Healthcare Services,"Mobile, Belgium",Provisional
DEP00279,Regional Medical Logistics,"Feltonworth, Germany",Non-Compliant
DEP00280,Worldwide Depot Services,"Dayanafort, Canada",Grade B
DEP00281,Prime Logistics Group,"Gilroy, Belgium",Conditional Approval
DEP00282,National Supply Solutions,"Lottieworth, South Korea",Under Remediation
DEP00283,Worldwide Transport International,"Lake Saige, Belgium",Under Remediation
DEP00284,Worldwide Healthcare Hub,"Kesslerfort, Belgium",Under Remediation
DEP00285,United Transport Network,"North Destiney, Australia",Provisional
DEP00286,Regional Transport Solutions,"Gorczanyworth, China",Non-Compliant
DEP00287,Global Supply Alliance,"Wildermanworth, Norway",Certified
DEP00288,Integrated Transport Network,"Schowalterburgh, Sweden",Non-Compliant
DEP00289,National Distribution Solutions,"San Juan, Singapore",Grade A
DEP00290,Global Depot Solutions,"Fort Pierce, Norway",Grade B
DEP00291,Integrated Healthcare International,"Casas Adobes, France",Under Remediation
DEP00292,Worldwide Medical Alliance,"Auerview, Netherlands",Provisional
DEP00293,National Healthcare Alliance,"West Ashlystad, Austria",Grade B
DEP00294,Regional Supply Services,"North Rolandoside, Germany",Conditional Approval
DEP00295,Prime Depot Network,"Port Arthur, Switzerland",Provisional
DEP00296,Global Healthcare International,"North Miami Beach, China",Under Remediation
DEP00297,National Distribution Solutions,"Frisco, UK",Non-Compliant
DEP00298,Global Distribution Hub,"Greysonhaven, Japan",Grade A
DEP00299,United Logistics Network,"Fort Saraistad, Netherlands",Grade A
DEP00300,Alliance Distribution Group,"Pensacola, India",Certified
DEP00301,Regional Storage Systems,"Blazefurt, Japan",Certified
DEP00302,Prime Medical Logistics,"West Humberto, USA",Provisional
DEP00303,National Healthcare International,"Treutelburgh, Japan",Grade A
DEP00304,Worldwide Healthcare Services,"West Lillatown, Netherlands",Grade B
DEP00305,Worldwide Medical Solutions,"Detroit, France",Provisional
DEP00306,Regional Supply Solutions,"West Nyah, Mexico",Provisional
DEP00307,National Healthcare Services,"North Dudleyborough, Singapore",Certified
DEP00308,Global Healthcare Services,"Murray, Singapore",Conditional Approval
DEP00309,Prime Storage Group,"Burlington, Canada",Fully Compliant
DEP00310,Alliance Medical International,"Port Elda, Brazil",Provisional
DEP00311,National Transport Group,"Carmichael, Spain",Fully Compliant
DEP00312,Integrated Transport Logistics,"Maggiocester, Netherlands",Under Remediation
DEP00313,Regional Depot Group,"Tulsa, UK",Provisional
DEP00314,Worldwide Pharma Solutions,"West Seneca, France",Under Remediation
DEP00315,Integrated Depot Services,"Jocelynberg, Ireland",Certified
DEP00316,National Pharma International,"South Broderickton, Germany",Provisional
DEP00317,Prime Storage Services,"Hirtheville, Norway",Non-Compliant
DEP00318,Integrated Medical Alliance,"Samberg, Spain",Grade B
DEP00319,Regional Distribution Services,"Mabelton, China",Provisional
DEP00320,Alliance Healthcare Alliance,"Fort Blaise, Ireland",Non-Compliant
DEP00321,National Supply Systems,"Bloomington, China",Under Remediation
DEP00322,Worldwide Depot Partners,"North Breanna, Singapore",Conditional Approval
DEP00323,Strategic Delivery Systems,"West Ryanville, Netherlands",Non-Compliant
DEP00324,Central Distribution Services,"Mertzcester, USA",Grade B
DEP00325,Regional Pharma Group,"Apex, India",Provisional
DEP00326,Regional Logistics Services,"Yundtberg, Denmark",Conditional Approval
DEP00327,National Delivery Logistics,"Jaimemouth, Japan",Pending Review
DEP00328,Worldwide Healthcare Alliance,"Pfannerstilltown, Brazil",Grade B
DEP00329,Worldwide Depot International,"Frankchester, Sweden",Partial Compliance
DEP00330,Central Healthcare Services,"New Georgettefield, Poland",Grade B
DEP00331,Alliance Distribution Partners,"West Else, USA",Grade C
DEP00332,Global Healthcare Systems,"Padbergtown, Switzerland",Certified
DEP00333,Worldwide Pharma Network,"Aurora, Singapore",Partial Compliance
DEP00334,Alliance Transport Alliance,"Starkchester, USA",Grade C
DEP00335,Strategic Pharma International,"Reynoldshaven, Switzerland",Non-Compliant
DEP00336,United Distribution Solutions,"Anaheim, Spain",Under Remediation
DEP00337,National Logistics Network,"East Lolahaven, Singapore",Under Remediation
DEP00338,Alliance Logistics Hub,"Fort Ethaton, Sweden",Pending Review
DEP00339,Global Delivery International,"Bednarberg, UK",Pending Review
DEP00340,United Storage Logistics,"South Lauren, Sweden",Non-Compliant
DEP00341,United Delivery Group,"Bryanaport, Sweden",Conditional Approval
DEP00342,Global Depot International,"Houston, China",Under Remediation
DEP00343,United Supply Partners,"Millston, Australia",Conditional Approval
DEP00344,Integrated Delivery Systems,"New Reaganville, South Korea",Under Remediation
DEP00345,Central Logistics International,"Hoegerworth, Italy",Certified
DEP00346,National Distribution Logistics,"Yuba City, Brazil",Conditional Approval
DEP00347,Global Distribution Logistics,"North Alysha, China",Under Remediation
DEP00348,Alliance Transport Services,"Pueblo, UK",Grade A
DEP00349,United Supply International,"Demondport, China",Pending Review
DEP00350,Integrated Logistics Hub,"Corkeryfield, UK",Conditional Approval
DEP00351,Prime Medical Hub,"South Dorotheaborough, Canada",Grade A
DEP00352,Strategic Supply Systems,"North Emmanuelle, Italy",Grade B
DEP00353,Alliance Supply Partners,"North Avis, Poland",Conditional Approval
DEP00354,Global Distribution Systems,"Zariaton, Brazil",Grade C
DEP00355,Worldwide Distribution Group,"Lake Maria, Switzerland",Pending Review
DEP00356,Prime Medical Hub,"South Stan, UK",Pending Review
DEP00357,United Medical Hub,"Idaho Falls, Ireland",Grade C
DEP00358,Central Healthcare Services,"Deionbury, Norway",Grade B
DEP00359,National Healthcare Hub,"Port Gilbert, Norway",Fully Compliant
DEP00360,Worldwide Pharma Alliance,"Johnnietown, Switzerland",Fully Compliant
DEP00361,National Transport Services,"Newport News, South Korea",Conditional Approval
DEP00362,Alliance Delivery International,"Silasborough, Austria",Conditional Approval
DEP00363,Strategic Depot Solutions,"South Samirland, Sweden",Provisional
DEP00364,Alliance Depot Services,"Windlerview, Ireland",Grade A
DEP00365,Regional Storage Systems,"Urbana, Australia",Pending Review
DEP00366,Alliance Logistics Hub,"Ressiemouth, Japan",Grade B
DEP00367,Central Depot Solutions,"Fort Madisynshire, Japan",Partial Compliance
DEP00368,Integrated Storage Hub,"Schuppestead, Poland",Certified
DEP00369,Alliance Distribution Alliance,"East Addison, Singapore",Non-Compliant
DEP00370,United Storage Services,"Cathedral City, Spain",Pending Review
DEP00371,Prime Transport Systems,"South Lempi, Sweden",Provisional
DEP00372,Global Storage International,"Bechtelarview, Belgium",Grade A
DEP00373,National Logistics Hub,"Bernadettehaven, Austria",Grade B
DEP00374,Alliance Storage Alliance,"Moriahfort, Germany",Grade A
DEP00375,Central Logistics Partners,"Joshshire, France",Under Remediation
DEP00376,Central Distribution Network,"Kutchland, USA",Grade C
DEP00377,Worldwide Depot Group,"East Luciousport, South Korea",Grade C
DEP00378,Global Logistics Group,"Miami, Italy",Grade A
DEP00379,Strategic Supply Systems,"Breitenbergfurt, Netherlands",Fully Compliant
DEP00380,Strategic Logistics Solutions,"Atlanta, Brazil",Under Remediation
DEP00381,National Medical Systems,"North Lewburgh, Australia",Conditional Approval
DEP00382,Integrated Logistics Partners,"New Olliestad, Spain",Pending Review
DEP00383,Alliance Supply Services,"Croninfort, South Korea",Fully Compliant
DEP00384,Regional Delivery Hub,"Lake Llewellyn, Japan",Grade A
DEP00385,Alliance Pharma Network,"East Kathlynburgh, Sweden",Conditional Approval
DEP00386,Strategic Depot Group,"North Nadia, Brazil",Grade A
DEP00387,Regional Transport Solutions,"Veumfield, Singapore",Grade B
DEP00388,Worldwide Healthcare Systems,"Madera, Sweden",Non-Compliant
DEP00389,Worldwide Medical Group,"Marysville, Brazil",Certified
DEP00390,Central Logistics Group,"West Carleychester, Australia",Certified
DEP00391,Strategic Distribution Services,"Ottofurt, Switzerland",Partial Compliance
DEP00392,Strategic Depot Solutions,"South Flaviofield, Belgium",Grade B
DEP00393,Worldwide Pharma Services,"Hesselfort, France",Provisional
DEP00394,Worldwide Storage Group,"Ellicott City, Japan",Non-Compliant
DEP00395,Regional Pharma Alliance,"Stellaville, Australia",Under Remediation
DEP00396,National Depot Partners,"North Kyla, USA",Certified
DEP00397,National Storage Logistics,"Hesselbury, UK",Pending Review
DEP00398,Central Pharma Group,"Cotystead, Sweden",Pending Review
DEP00399,National Delivery Systems,"Laishastead, Poland",Provisional
DEP00400,Global Depot International,"Ponce, Australia",Certified
DEP00401,Integrated Medical Services,"South Danialland, USA",Fully Compliant
DEP00402,Prime Delivery Solutions,"East Trentoncester, Brazil",Partial Compliance
DEP00403,United Supply Systems,"Reillyberg, UK",Certified
DEP00404,Regional Distribution Network,"Jonfurt, Poland",Provisional
DEP00405,National Storage Solutions,"Luisatown, Spain",Grade B
DEP00406,Central Medical Systems,"North Scottieville, Germany",Certified
